actor,pelicula
50 Cent,Escape Plan
A.C. Peterson,The Stakelander
Aamir Khan,3 Idiots
Aamir Khan,Dangal
Aamir Khan,PK
Aamir Khan,Taare Zameen Par
Aaron Burns,Knock Knock
Aaron Burns,The Green Inferno
Aaron Eckhart,Bleed for This
Aaron Eckhart,London Has Fallen
Aaron Eckhart,Olympus Has Fallen
Aaron Eckhart,Sully
Aaron Eckhart,The Dark Knight
Aaron Paul,Eye in the Sky
Aaron Paul,Need for Speed
Aaron Paul,The 9th Life of Louis Drax
Aaron Paul,Triple 9
Aaron Poole,The Void
Aaron Taylor-Johnson,Anna Karenina
Aaron Taylor-Johnson,Godzilla
Aaron Taylor-Johnson,Kick-Ass
Aaron Taylor-Johnson,Kick-Ass 2
Aaron Taylor-Johnson,Nocturnal Animals
Aaron Taylor-Johnson,Savages
Aaron Yoo,21
Aasif Mandvi,The Internship
Abbie Cornish,A Good Year
Abbie Cornish,Lavender
Abbie Cornish,Limitless
Abbie Cornish,RoboCop
Abbie Cornish,Solace
Abbie Cornish,Sucker Punch
Abel Ayala,El baile de la victoria
Abel Ayala,El Marginal
Abigail Breslin,Ender's Game
Abigail Breslin,Final Girl
Abigail Breslin,Little Miss Sunshine
Abigail Breslin,Zombieland
Adam Brody,Jennifer's Body
Adam Brody,Yoga Hosers
Adam Campbell,Wolves at the Door
Adam Devine,Mike and Dave Need Wedding Dates
Adam Driver,Midnight Special
Adam Driver,Paterson
Adam Driver,Silence
Adam Driver,What If
Adam G. Sevani,Step Up 2: The Streets
Adam Levine,Begin Again
Adam Pally,Search Party
Adam Rodriguez,Magic Mike XXL
Adam Sandler,Blended
Adam Sandler,Grown Ups
Adam Sandler,Grown Ups 2
Adam Sandler,Hotel Transylvania 2
Adam Sandler,Just Go with It
Adam Sandler,Pixels
Adam Sandler,The Do-Over
Adam Sandler,The Ridiculous 6
Adam Sandler,You Don't Mess with the Zohan
Addison Timlin,Fallen
Adelaide Kane,The Purge
Adèle Exarchopoulos,La vie d'Adèle
Adèle Exarchopoulos,The Last Face
Adewale Akinnuoye-Agbaje,G.I. Joe: The Rise of Cobra
Adewale Akinnuoye-Agbaje,Pompeii
Adil Hussain,Life of Pi
Adria Arjona,The Belko Experiment
Adrian Grenier,Entourage
Adrian Grenier,The Devil Wears Prada
Adrian Martinez,Focus
Adrian Martinez,White Girl
Adrián Salzedo,Tini: El gran cambio de Violetta
Adrián Suar,30 días con mi ex
Adrián Suar,Dos más dos
Adrián Suar,El fútbol o yo
Adrián Suar,Igualita a mí
Adrián Suar,Me casé con un boludo
Adrián Suar,Un novio para mi mujer
Adrian Titieni,Bacalaureat
Adrian Yospe,"Pizza, birra, faso"
Adriana Aizemberg,El abrazo partido
Adriana Aizemberg,Mundo grúa
Adriana Brodsky,El manosanta está cargado
Adrianne Palicki,G.I. Joe: Retaliation
Adrien Brody,Predators
Adrien Brody,The Grand Budapest Hotel
Agustín Mendilaharzu,Historias extraordinarias
Agustín Sullivan,Sandro de América
Agustina Muñoz,La princesa de Francia
Agustina Muñoz,Viola
Ahney Her,Gran Torino
Aidan Gillen,Sing Street
Aidan Quinn,Unknown
Aidan Turner,The Secret Scripture
Aiden Longworth,The 9th Life of Louis Drax
Ailín Salas,La helada negra
Ailín Salas,Lulú
AJ Michalka,Super 8
Akihiro Kitamura,The Human Centipede (First Sequence)
Akiva Schaffer,Popstar: Never Stop Never Stopping
Alain Moussi,Kickboxer: Vengeance
Alan Alda,Bridge of Spies
Alan Alda,The Longest Ride
Alan Arkin,Argo
Alan Daicz,Relatos salvajes
Alan Rickman,Eye in the Sky
Alan Rickman,Perfume: The Story of a Murderer
Alan Rickman,Sweeney Todd: The Demon Barber of Fleet Street
Alan Sabbagh,El sistema KEOPS
Alan Sabbagh,La última fiesta
Alan Tudyk,Rogue One
Albert Brooks,Concussion
Albert Brooks,Drive
Albert Brooks,Finding Dory
Albert Finney,A Good Year
Albertina Carri,Los rubios
Alberto Ajaka,Apache
Alberto Ajaka,Los que vuelven
Alberto Ajaka,Un crimen argentino
Alberto Ammann,Betibú
Alberto Ammann,Celda 211
Alberto Ammann,El silencio del cazador
Alberto Ammann,Narcos
Alberto Ammann,Tesis sobre un homicidio
Alberto Argibay,Circe
Alberto Dalbés,Rosaura a las diez
Alberto de Mendoza,El infierno tan temido
Alberto de Mendoza,El jefe
Alberto Olmedo,A los cirujanos se les va la mano
Alberto Olmedo,Atracción peculiar
Alberto Olmedo,Basta de mujeres
Alberto Olmedo,El manosanta está cargado
Alberto Olmedo,El Rey de los exhortos
Alberto Olmedo,El sexólogo
Alberto Olmedo,Expertos en pinchazos
Alberto Olmedo,Galería del terror
Alberto Olmedo,Los caballeros de la cama redonda
Alberto Olmedo,Los colimbas se divierten
Alberto Olmedo,Los doctores las prefieren desnudas
Alberto Olmedo,Los fiascos de la academia
Alberto Olmedo,Los hombres solo piensan en eso
Alberto Olmedo,Maridos de vacaciones
Alberto Olmedo,Rambito y Rambón
Alberto San Juan,Sentimental
Alden Ehrenreich,Beautiful Creatures
Alden Ehrenreich,"Hail, Caesar!"
Aldis Hodge,Jack Reacher: Never Go Back
Alec Baldwin,Blue Jasmine
Alec Baldwin,Bonjour Anne
Alec Baldwin,Concussion
Alec Baldwin,Rock of Ages
Alejandra Flechner,"Argentina, 1985"
Alejandra Podestá,De eso no se habla
Alejandro Awada,El Marginal
Alejandro Awada,"Iosi, el espía arrepentido"
Alejandro Awada,Nueve reinas
Alejandro Fiore,Los simuladores
Alejandro Pous,"Pizza, birra, faso"
Alejandro Rusli,Historia del miedo
Alejandro Sieveking,El invierno
Alejandro Urdapilleta,La niña santa
Aleksandr Armer,Viking
Alessandro Nivola,Devil's Knot
Àlex Brendemühl,Wakolda
Alex Essoe,The Neighbor
Alex Fisher,The Strangers
Alex Karpovsky,Folk Hero & Funny Guy
Alex Pettyfer,Endless Love
Alex Pettyfer,I Am Number Four
Alex Pettyfer,Magic Mike
Alex R. Hibbert,Moonlight
Alexander Black,A Hologram for the King
Alexander Ludwig,Final Girl
Alexander Skarsgård,Battleship
Alexander Skarsgård,Melancholia
Alexander Skarsgård,The Legend of Tarzan
Alexander Skarsgård,War on Everyone
Alexandra Daddario,Percy Jackson: Sea of Monsters
Alexandra Daddario,San Andreas
Alexandra Daddario,Texas Chainsaw 3D
Alexandra Daddario,The Choice
Alexandra Maria Lara,Rush
Alexi Pappas,Tracktown
Alexis Clagett,Life as We Know It
Alexis Dziena,Fool's Gold
Alfie Allen,John Wick
Alfonso Tort,La noche de 12 años
Alfre Woodard,Annabelle
Alfred Molina,Frida
Alfred Molina,Paint It Black
Alfred Molina,Prince of Persia: The Sands of Time
Alfred Molina,Whiskey Tango Foxtrot
Alfredo Alcón,Boquitas pintadas
Alfredo Alcón,El reñidero
Alfredo Alcón,El santo de la espada
Alfredo Alcón,La morocha
Alfredo Alcón,Los siete locos
Alfredo Alcón,Martín Fierro
Alfredo Alcón,Nazareno Cruz y el lobo
Alfredo Alcón,Pubis angelical
Alfredo Camiña,Riachuelo
Alfredo Castro,Rojo
Ali Larter,Resident Evil: Afterlife
Ali Larter,Resident Evil: The Final Chapter
Alia Bhatt,Dear Zindagi
Alia Shawkat,Green Room
Alia Shawkat,Paint It Black
Alián Devetac,La tercera orilla
Alice Braga,Ardor
Alice Braga,Elysium
Alice Braga,I Am Legend
Alice Braga,Predators
Alice Englert,Beautiful Creatures
Alice Eve,Before We Go
Alice Eve,She's Out of My League
Alicia Vikander,Ex Machina
Alicia Vikander,Jason Bourne
Alicia Vikander,Seventh Son
Alicia Vikander,The Danish Girl
Alicia Vikander,The Light Between Oceans
Alicia Vikander,The Man from U.N.C.L.E.
Alison Brie,Get Hard
Alison Brie,How to Be Single
Alison Brie,Sleeping with Other People
Alison Brie,The Headhunter's Calling
Alison Pill,Scott Pilgrim vs. the World
Alison Sudol,Fantastic Beasts and Where to Find Them
Alistair Abell,Sausage Party
Allen Leech,The Imitation Game
Allison Janney,The DUFF
Allison Tolman,The Gift
Alma Bozzo Barón,Vendrán lluvias suaves
Alon Aboutboul,Boyka: Undisputed IV
Alycia Debnam-Carey,Friend Request
Alyson Hannigan,American Reunion
Amanda Bynes,Easy A
Amanda Bynes,She's the Man
Amanda Minujín,Las buenas intenciones
Amanda Peet,2012
Amanda Righetti,Friday the 13th
Amanda Seyfried,A Million Ways to Die in the West
Amanda Seyfried,In Time
Amanda Seyfried,Jennifer's Body
Amanda Seyfried,Les Misérables
Amanda Seyfried,Mamma Mia!
Amanda Seyfried,Ted 2
Amara Miller,The Descendants
Amber Heard,3 Days to Kill
Amber Heard,Never Back Down
Amber Heard,The Danish Girl
Amber Perkins,Megan Is Missing
Amber Tamblyn,127 Hours
Amelia Bence,La guerra gaucha
America Ferrera,End of Watch
Amr Waked,Lucy
Amy Adams,American Hustle
Amy Adams,Arrival
Amy Adams,Batman v Superman: Dawn of Justice
Amy Adams,Enchanted
Amy Adams,Her
Amy Adams,Man of Steel
Amy Adams,Nocturnal Animals
Amy Adams,The Fighter
Amy Adams,The Master
Amy Poehler,Inside Out
Amy Poehler,Sisters
Amy Ryan,Bridge of Spies
Amy Ryan,Central Intelligence
Amy Ryan,Changeling
Amy Ryan,The Infiltrator
Amy Schumer,Trainwreck
Ana Brun,Las herederas
Ana Carolina García,Las Mil y Una
Ana Celentano,Okupas
Ana de Armas,Exposed
Ana de Armas,Knock Knock
Ana Garibaldi,El Marginal
Ana Ivanova,Las herederas
Ana María Picchio,La tregua
Ana María Picchio,Santos Vega
Ana María Picchio,"Tangos, el exilio de Gardel"
